Code,Title,Identifier,Harvest Run,Harvest Message,Total Records Found,New Records,Unpublished Records
11b-39057,Harvest record for Greene County GIS Hub,11b-39057,success,[ArcGIS] Fetched 11b-39057 — Greene County GIS Hub,87,0,0
01b-18057,"Harvest record for Hamilton County, Indiana Open Data Collection",01b-18057,success,"[ArcGIS] Fetched 01b-18057 — Hamilton County, Indiana Open Data Collection",47,0,0
04b-24025,Harvest record for Harford County Planning and Zoning Open GIS,04b-24025,success,[ArcGIS] Fetched 04b-24025 — Harford County Planning and Zoning Open GIS,75,0,0
05b-27053,Harvest record for Hennepin County GIS Data,05b-27053,success,[ArcGIS] Fetched 05b-27053 — Hennepin County GIS Data,37,0,0
11b-39075,Harvest record for Holmes County GIS Open Data Portal,11b-39075,success,[ArcGIS] Fetched 11b-39075 — Holmes County GIS Open Data Portal,26,0,0
05b-27057,Harvest record for Hubbard County Open Geospatial Data,05b-27057,success,[ArcGIS] Fetched 05b-27057 — Hubbard County Open Geospatial Data,9,0,0
1000-0001,Harvest record for HUD-eGIS Geospatial Data Storefront,1000-0001,success,[ArcGIS] Fetched 1000-0001 — HUD-eGIS Geospatial Data Storefront,114,0,0
02a-04,Harvest record for Illinois DOT Open Data Portal,02a-04,success,[ArcGIS] Fetched 02a-04 — Illinois DOT Open Data Portal,123,0,0
09a-04,Harvest record for IndianaMap,09a-04,success,[ArcGIS] Fetched 09a-04 — IndianaMap,716,5,0
03a-03,Harvest record for Iowa Geodata,03a-03,success,[ArcGIS] Fetched 03a-03 — Iowa Geodata,275,0,0
03a-02,Harvest record for IowaDOT Open Data,03a-02,success,[ArcGIS] Fetched 03a-02 — IowaDOT Open Data,598,0,14
05b-27059,Harvest record for Isanti County Geospatial Hub,05b-27059,success,[ArcGIS] Fetched 05b-27059 — Isanti County Geospatial Hub,19,0,0
16b-53029,Harvest record for Island County Open Data Portal,16b-53029,success,[ArcGIS] Fetched 16b-53029 — Island County Open Data Portal,38,0,0
16b-53031,Harvest record for Jefferson County Washington Open Data Site,16b-53031,success,[ArcGIS] Fetched 16b-53031 — Jefferson County Washington Open Data Site,37,1,1
02b-17091,Harvest record for Kankakee County GIS,02b-17091,error,[ArcGIS] Error fetching 02b-17091: Expecting value: line 1 column 1 (char 0),0,0,0
10b-55059,"Harvest record for Kenosha County, WI GIS Open Data Portal",10b-55059,success,"[ArcGIS] Fetched 10b-55059 — Kenosha County, WI GIS Open Data Portal",55,0,0
16b-53033,Harvest record for King County GIS Open Data,16b-53033,success,[ArcGIS] Fetched 16b-53033 — King County GIS Open Data,532,0,0
16b-53037,Harvest record for Kittitas County Open Data Portal,16b-53037,success,[ArcGIS] Fetched 16b-53037 — Kittitas County Open Data Portal,50,0,0
11b-39085,Harvest record for Lake County GIS Hub,11b-39085,success,[ArcGIS] Fetched 11b-39085 — Lake County GIS Hub,44,0,0
12b-17097,Harvest record for Lake County Illinois Open Data Portal,12b-17097,success,[ArcGIS] Fetched 12b-17097 — Lake County Illinois Open Data Portal,1547,0,0
10b-55021,"Harvest record for Land Records Data Portal of Columbia County, WI",10b-55021,success,"[ArcGIS] Fetched 10b-55021 — Land Records Data Portal of Columbia County, WI",136,0,0
13c-01,Harvest record for Lincoln Open Data and Performance Management,13c-01,success,[ArcGIS] Fetched 13c-01 — Lincoln Open Data and Performance Management,315,0,0
03b-19113,"Harvest record for Linn County, Iowa Open Data Portal",03b-19113,success,"[ArcGIS] Fetched 03b-19113 — Linn County, Iowa Open Data Portal",140,0,0
11b-39091,Harvest record for Logan County GIS Data,11b-39091,success,[ArcGIS] Fetched 11b-39091 — Logan County GIS Data,0,0,0
11b-39093,Harvest record for Lorain County GIS Data,11b-39093,success,[ArcGIS] Fetched 11b-39093 — Lorain County GIS Data,307,0,0
