Title,Creator,Publisher,Subject,Spatial Coverage,Bounding Box,Member Of,ID,Identifier,Code
Montgomery County GIS Open Data,,Maryland--Montgomery County,County government records,Maryland--Montgomery County|Maryland,"-77.528,38.934,-76.888,39.353",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04b-24031,https://opendata-mcgov-gis.hub.arcgis.com,04b-24031
Montgomery County Open Data,,Pennsylvania--Montgomery County,County government records,Pennsylvania--Montgomery County|Pennsylvania,"-75.697,39.977,-75.015,40.447",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08b-42091,https://data-montcopa.opendata.arcgis.com,08b-42091
Mower County Geospatial Hub,,"Mower County, Minnesota",County government records,Minnesota--Mower County|Minnesota,"-93.050,43.500,-92.449,43.849",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27099,https://geospatial-hub-mowercountymn.hub.arcgis.com/pages/open-data,05b-27099
NAIP GeoHub,,United States Department of Agriculture,Federal government records,United States,,b0153110-e455-4ced-9114-9b13250a7093,99-1800,https://naip-usdaonline.hub.arcgis.com/,99-1800
Nebraska Game & Parks Map and Data Portal,,Nebraska,State government records,Nebraska,"-104.100,40.000,-95.300,43.000",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13a-04,https://data-outdoornebraska.opendata.arcgis.com,13a-04
NebraskaMap,,Nebraska,State government records,Nebraska,"-104.053,40.000,-95.308,43.001",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13a-01,https://www.nebraskamap.gov,13a-01
New Jersey Department of Environmental Protection's (NJDEP) Bureau of GIS,New Jersey Department of Environmental Protection's Bureau of GIS,New Jersey,State government records,New Jersey,"-75.563,38.791,-73.894,41.357",ba5cc745-21c5-4ae9-954b-72dd8db6815a,14a-02,https://gisdata-njdep.opendata.arcgis.com,14a-02
New Jersey Geographic Information Network (NJGIN) Open Data Portal,New Jersey Office of GIS,New Jersey,State government records,New Jersey,"-75.563,38.791,-73.894,41.357",ba5cc745-21c5-4ae9-954b-72dd8db6815a,14a-01,https://njogis-newjersey.opendata.arcgis.com,14a-01
North Central PA Hub,"North Central, PA Regional Planning and Development Commission",Pennsylvania--North Central,Regional government records,Pennsylvania,"-80.521,39.720,-74.690,42.515",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08f-03,https://regional-planning-northcentral.hub.arcgis.com,08f-03
"Oakland County, MI Open data",,Michigan--Oakland County,County government records,Michigan--Oakland County|Michigan,"-83.689,42.431,-83.083,42.889",ba5cc745-21c5-4ae9-954b-72dd8db6815a,06b-26125,http://accessoakland.oakgov.com,06b-26125
Omaha/Douglas County GIS Open Data Portal,,Nebraska--Omaha,County government records,Nebraska--Omaha|Nebraska--Douglas County|Nebraska,"-96.473,41.190,-95.871,41.394",ba5cc745-21c5-4ae9-954b-72dd8db6815a,13b-31055,https://data-dogis.opendata.arcgis.com,13b-31055
Open Baltimore,,Maryland--Baltimore,Municipal government records,Maryland--Baltimore|Maryland,"-76.720,39.200,-76.530,39.380",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04c-02,https://data.baltimorecity.gov,04c-02
Open Data DC,,District of Columbia--Washington,Municipal government records,District of Columbia--Washington|District of Columbia,"-77.120,38.792,-76.909,38.996",ba5cc745-21c5-4ae9-954b-72dd8db6815a,04c-01,https://opendata.dc.gov,04c-01
Open Data Kitsap County GIS,,Washington (State)--Kitsap County,County government records,Washington (State)--Kitsap County|Washington (State),"-123.040,47.400,-122.430,47.970",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53035,https://kitsap-od-kitcowa.hub.arcgis.com,16b-53035
Open Data Minneapolis,,Minnesota--Minneapolis,Municipal government records,Minnesota--Minneapolis|Minnesota,"-93.329,44.890,-93.194,45.051",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05c-01,https://opendata.minneapolismn.gov,05c-01
OpenIndy Data Portal,,"City of Indianapolis and Marion County, Indiana",Municipal government records,Indiana--Indianapolis|Indiana--Marion County|Indiana,"-86.328,39.632,-85.938,39.928",ba5cc745-21c5-4ae9-954b-72dd8db6815a,01c-02,http://data.indy.gov,01c-02
Opioid Awareness|Peoria City/County Health Department,Peoria City/County Health Department,Illinois--Peoria County,County government records,Illinois--Peoria County|Illinois,"-89.989,40.514,-89.447,40.975",ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-02,https://opioid-awareness-peoriacountygis.hub.arcgis.com,12c-02
Oregon GEOHub,State of Oregon,Oregon,State government records,Oregon,"-124.570,41.990,-116.460,46.290",ba5cc745-21c5-4ae9-954b-72dd8db6815a,17a-01,https://geohub.oregon.gov,17a-01
Otter Tail County Maps and Data Hub,,Minnesota--Otter Tail County,County government records,Minnesota--Otter Tail County|Minnesota,"-96.281,46.106,-95.146,46.718",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27111,https://opendata-otcgis.hub.arcgis.com/,05b-27111
Outgamie County Open Data,,Wisconsin--Outagamie County,County government records,Wisconsin--Outagamie County|Wisconsin,"-90.045,45.464,-89.046,45.901",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55087,https://data-ocgis.opendata.arcgis.com,10b-55087
Pennsylvania Department of Conservation and Natural Resources Open Data Portal,Pennsylvania Department of Conservation and Natural Resources,Pennsylvania,State government records,Pennsylvania,"-80.521,39.720,-74.690,42.515",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08a-02,https://newdata-dcnr.opendata.arcgis.com,08a-02
Pennsylvania Department of Environmental Protection,Pennsylvania Department of Environmental Protection,Pennsylvania,Environmental records,Pennsylvania,"-80.626,39.720,-74.690,42.332",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08a-03,https://newdata-padep-1.opendata.arcgis.com,08a-03
Peoria County GIS Open Data Portal,,Illinois--Peoria County,County government records,Illinois--Peoria County|Illinois,"-89.989,40.513,-89.448,40.975",ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17143,https://data-peoriacountygis.opendata.arcgis.com,12b-17143
PHLmaps,"City of Philadelphia, Pennsylvania",Pennsylvania--Philadelphia,Municipal government records,Pennsylvania--Philadelphia|Pennsylvania,"-75.280,39.867,-74.956,40.138",ba5cc745-21c5-4ae9-954b-72dd8db6815a,08c-01-2,http://data-phl.opendata.arcgis.com,08c-01-2
Pickaway County GIS Open Data,,Ohio--Pickaway County,County government records,Ohio--Pickaway County|Ohio,"-83.267,39.468,-82.732,39.812",ba5cc745-21c5-4ae9-954b-72dd8db6815a,11b-39129,https://pickawayopendata-pickaway-gis.opendata.arcgis.com/,11b-39129
Pierce County GIS Open Data Portal,,Wisconsin--Pierce County,County government records,Wisconsin--Pierce County|Wisconsin,"-92.650,44.830,-92.580,44.902",ba5cc745-21c5-4ae9-954b-72dd8db6815a,10b-55093,https://data-piercecounty-wi.hub.arcgis.com,10b-55093
Pierce County Open GeoSpatial Data Portal,,Washington (State)--Pierce County,County government records,Washington (State)--Pierce County|Washington (State),"-122.850,46.730,-121.370,47.400",ba5cc745-21c5-4ae9-954b-72dd8db6815a,16b-53053,https://gisdata-piercecowa.opendata.arcgis.com,16b-53053
Pipestone County Land Records Hub,,Minnesota--Pipestone County,County government records,Minnesota--Pipestone County|Minnesota,"-96.453,43.849,-96.064,44.197",ba5cc745-21c5-4ae9-954b-72dd8db6815a,05b-27117,https://landrecords-pipestone.hub.arcgis.com,05b-27117
