ID,Creator,Creator ID,Resource Type,Temporal Coverage,Date Issued,Date Range,Spatial Coverage,Bounding Box,GeoNames,Date Accessioned,Tags
994ae10b-83bc-48c5-acc0-354a4af4f604,"Elliott Publishing Company.|Traver, George W.",null|null,Aerial views,1889,1889,1889-1889,Washington--Tacoma|Washington--Washington State,"-122.562,47.167,-122.348,47.319",,2019-01-16,bbox-verified_2023-02-27|2022-creator-sprint|FixedBBoxes|bboxSprintJune2023|sprint-2021-05
1e11df36-1656-41ec-b50b-1dc64bbe8d77,06 Maekawa Rokuzaemon.,null,,,Tenmei 7 1787,1787-1787,Japan,"134.63,35.49,134.9,35.68",http://sws.geonames.org/1862047,2021-04-16,2022-creator-sprint|sprint-2021-05
7d140720-349f-40c1-9c88-3664ae146c38,,,Early maps,,Meiji 22 1889,1889-18889,Japan,"134.83,34.93,135.87,35.88",http://sws.geonames.org/1857907,2021-04-16,sprint-2021-05
12a1597a-2bbe-4a0a-8d7f-fa540ee17615,"Dahl, James, former owner|Ortelius, Abraham, 1527-1598|Plantin, Christophe, approximately 1520-1589, printer",null|fst00000509|null,,1584,,1584-1584,Asia,"-149.55,27.93,19.67,81.87",,2019-01-16,2022-creator-sprint|sprint-2021-05
2e239714-e34b-49cd-8c72-1a8584726729,Tehuantepec Railway Company,fst00580663,World maps,1868,,1868-1868,World,"-179.99,-89.99,179.99,89.99",,2019-01-16,2022-creator-sprint|-180TO180|sprint-2021-05
af20bf57-ad84-4713-b60d-51b4dd06ec77,"Miwa, Hideharu.",null,,Meiji 17 1884,,1884-1884,Japan-- Miyagi--Miyagi-ken|Japan,"140.28,37.77,141.6,38.95",,2019-01-16,2022-creator-sprint|sprint-2021-05
c42c07ec-8dcf-4c5d-b3a3-38a76477cec6,"Ikeda, Tōri|Takehara, Yoshibē.",null|null,,Tenpō 12 1841,,1841-1841,Japan-- Kyoto--Kyoto|Japan,"135.5,34.83,135.83,35.07",,2019-01-16,2022-creator-sprint|sprint-2021-05
3d8a2657-0ade-4681-a8f3-005c1fbe016c,"Ikeda, Tōri|Takehara, Yoshibē.",null|null,,1834,,1834-1834,Japan-- Kyoto--Kyoto|Japan,"135.73,34.97,135.78,35.05",,2019-01-16,2022-creator-sprint|sprint-2021-05
0fe99bb0-8c6c-4640-ac37-545dbdc005c9,"Beaupré, B. de|Buchon, J. A. C. (Jean Alexandre C.), 1791-1846|Carez, J.",null|fst00284885|null,,1825,,1825-1825,Michigan,"-88.45,41.28,-82.3,46.92",,2019-01-16,2022-creator-sprint|sprint-2021-05
7ad79275-218b-40f3-83c8-e54fd5d50f36,"Dahl, James, former owner|J.H. Colton & Co.",null|fst01457236,,1855,,1855-1855,United States of America,"-120.000,32.000,-102.000,43.000",,2019-01-16,2022-creator-sprint|sprint-2021-05
